Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Abbeyfeale,Limerick Division,+52.38730039,-9.2900182,373,175,2,7,350,633,57,78,42,519,535,66
Abbeyleix,Laois/Offaly Division,+52.91273298,-7.34378663,197,278,3,6,497,874,43,131,21,385,358,26
Adare,Limerick Division,+52.56390242,-8.79206079,39,120,0,7,211,336,19,21,4,82,55,15
Aglish,Waterford Division,+52.07158955,-7.82204585,31,28,1,2,61,81,4,18,2,61,39,1
Ahascragh,Galway Division,+53.39567383,-8.33063535,31,49,0,0,55,76,6,11,6,60,55,11
Ailt an Chorrain,Donegal Division,+54.98492325,-8.43864199,68,49,0,0,41,89,4,8,4,109,132,3
An Bun Beag,Donegal Division,+55.06556516,-8.2894551,337,211,0,5,187,243,13,39,11,367,587,38
An Charraig,Donegal Division,+54.65787739,-8.63309153,49,51,0,0,43,61,6,14,6,97,91,6
An Cheathru Rua,Galway Division,+53.26451013,-9.60048665,161,111,1,1,46,104,10,10,1,150,198,20
An Clochan Liath,Donegal Division,+54.95156428,-8.36127328,214,148,0,1,84,237,48,28,12,172,501,28
An Coirean,Kerry Division,+51.83108668,-10.1741668,60,80,0,0,59,100,5,31,3,57,74,7
An Craoslach,Donegal Division,+55.12528550,-7.91254656,33,33,1,0,20,78,7,2,4,76,48,5
An Fál Carrach,Donegal Division,+55.13697922,-8.10202145,157,165,0,0,104,200,18,54,16,275,638,22
An Maim,Galway Division,+53.51072837,-9.56493302,34,42,0,2,77,172,29,28,18,55,66,0
An Rinn,Waterford Division,+52.04838283,-7.59304745,16,43,1,1,58,89,4,19,6,64,44,7
An Spideal,Galway Division,+53.24543148,-9.30562651,67,71,0,2,90,222,19,16,2,154,126,9
Anglesea Street,Cork City Division,+51.89581995,-8.46498943,2711,1521,6,489,1906,17193,983,1755,471,4186,16574,3919
Annascaul,Kerry Division,+52.15241809,-10.05253603,11,15,0,0,45,43,4,4,1,15,23,0
Aran Mor,Galway Division,+53.27207517,-8.93189429,403,482,2,27,797,1918,139,254,33,778,680,78
Ard An Rátha,Donegal Division,+54.76453309,-8.4094922,55,77,0,0,35,91,18,19,9,81,257,30
Ardee,Louth Division,+53.85491371,-6.54114623,365,254,6,26,788,1305,117,100,34,834,428,84
Ardfert,Kerry Division,+52.32348757,-9.77888988,84,129,0,4,121,189,14,70,1,74,149,22
Ardfinnan,Tipperary Division,+52.31183154,-7.87831126,46,67,0,4,104,118,9,94,13,104,66,11
Ardmore,Waterford Division,+51.95102025,-7.72821738,43,32,0,5,125,166,6,29,3,86,71,3
Ardnacrusha,Limerick Division,+52.70769139,-8.61314275,272,152,1,21,400,1220,49,181,54,821,430,63
Ardrahan,Galway Division,+53.15664553,-8.80645293,17,60,0,0,70,118,6,17,3,35,48,4
Arklow,Wicklow Division,+52.79628248,-6.15462926,933,653,8,74,1360,3179,208,1225,171,1706,2438,778
Arles,Laois/Offaly Division,+52.89097601,-7.01891853,60,56,0,7,286,348,9,35,7,163,83,7
Arva,Cavan/Monaghan Division,+53.92537770,-7.58375859,54,102,0,2,106,119,23,15,7,76,195,21
Ashbourne,Meath Division,+53.51137236,-6.39700116,644,854,5,99,1407,4224,280,597,102,1212,1604,131
Ashford,Wicklow Division,+53.01393723,-6.10726425,189,329,1,9,450,909,56,446,62,353,281,23
Askeaton,Limerick Division,+52.60063281,-8.9712075,125,69,0,3,195,353,18,49,15,165,331,48
Athea,Limerick Division,+52.45992484,-9.28747576,47,30,0,1,73,86,6,17,9,94,70,4
Athenry,Galway Division,+53.29974912,-8.7496903,227,186,0,5,327,533,53,60,17,324,455,50
Athleague,Roscommon/Longford Division,+53.56869660,-8.25236416,25,54,0,2,78,118,19,10,2,58,55,9
Athlone,Westmeath Division,+53.42325203,-7.94474011,1436,1214,11,172,2760,6499,410,1313,279,3311,4962,627
Athy,Kildare Division,+52.99020226,-6.98824286,837,570,11,156,1755,2512,166,432,128,1739,1550,228
Aughrim,Wicklow Division,+52.85602851,-6.32684194,70,32,0,5,222,245,8,59,13,104,42,6
Avoca,Wicklow Division,+52.85878901,-6.21289829,59,63,0,2,171,235,14,55,8,120,70,9
Baile Atha Bui,Meath Division,+53.62363476,-6.91586793,264,140,1,16,345,690,34,82,22,351,447,26
Baile an Fheirtéaraigh,Kerry Division,+52.16592865,-10.40619944,11,24,0,0,13,35,0,3,1,12,11,3
Baile Bhuirne,Cork West Division,+51.94577398,-9.16919921,10,62,0,1,88,109,10,18,4,42,33,0
Bailieboro,Cavan/Monaghan Division,+53.91520783,-6.96962665,415,338,0,9,241,541,77,232,30,519,957,85
Balbriggan,D.M.R. Northern Division,+53.61433362,-6.1911783,969,971,11,160,1760,4835,703,853,181,2483,2179,624
Balla,Mayo Division,+53.80186731,-9.12987496,53,67,0,2,88,196,9,15,3,123,118,6
Ballaghderreen,Roscommon/Longford Division,+53.89991925,-8.58458903,286,195,1,0,333,566,129,124,32,367,733,54
Ballina,Mayo Division,+54.11285759,-9.16043942,1171,704,1,32,771,2277,309,465,111,1998,3125,216
Ballinagh,Cavan/Monaghan Division,+53.93110703,-7.40962976,128,152,1,1,197,241,24,18,14,150,119,5
Ballinamore,Sligo/Leitrim Division,+54.05459763,-7.79696592,136,77,1,1,95,215,20,13,5,155,321,14
Ballinasloe,Galway Division,+53.32842661,-8.22363038,700,534,2,33,616,2028,241,474,134,1196,2673,494
Ballincollig,Cork City Division,+51.88823925,-8.59031359,482,568,0,35,599,2207,167,698,97,1583,2457,99
Ballindine,Mayo Division,+53.66964442,-8.95772401,29,50,0,5,60,135,20,2,8,30,58,1
Ballineen,Cork West Division,+51.73591912,-8.94887021,38,89,0,1,116,154,14,65,5,77,70,4
Ballingarry,Limerick Division,+52.47213201,-8.86284416,40,34,0,2,164,244,5,22,7,129,84,16
Ballingarry North,Tipperary Division,+53.01835303,-8.03046314,6,6,0,2,33,31,1,0,3,15,31,1
Ballingarry South,Tipperary Division,+52.58595894,-7.54096423,50,40,0,0,98,140,6,26,1,93,122,4
Ballinhassig,Cork West Division,+51.80408931,-8.5705419,105,112,1,2,143,323,28,158,12,165,90,9
Ballinlough,Roscommon/Longford Division,+53.74077796,-8.63581696,86,66,0,4,71,178,15,14,10,133,86,9
Ballinrobe,Mayo Division,+53.62460731,-9.2262203,255,178,7,9,183,496,45,68,21,336,419,16
Ballintra,Donegal Division,+54.57779920,-8.12541836,50,94,0,2,119,223,18,66,10,92,103,9
Ballivor,Meath Division,+53.53270149,-6.9671624,142,61,0,6,189,339,22,49,25,209,124,19
Ballon,Kilkenny/Carlow Division,+52.74322826,-6.77217466,55,65,0,10,322,268,17,40,6,124,50,8
Ballybay,Cavan/Monaghan Division,+54.12894066,-6.90480575,203,265,0,3,180,417,41,40,14,182,387,62
Ballybofey,Donegal Division,+54.79964372,-7.7810478,738,423,6,12,372,1015,151,138,43,795,1546,47
Ballybunion,Kerry Division,+52.51125634,-9.67024153,228,170,0,9,175,382,15,154,27,371,1514,16
Ballyconnell,Cavan/Monaghan Division,+54.11899854,-7.58019738,180,215,0,3,124,302,29,62,10,162,402,64
Ballycotton,Cork North Division,+51.83033028,-8.01309177,33,54,0,0,58,106,4,63,2,80,91,12
Ballycroy,Mayo Division,+54.02576498,-9.82585671,38,14,6,0,14,27,3,0,0,28,14,1
Ballycullane,Wexford Division,+52.27886846,-6.8392041,52,49,0,1,127,173,6,65,14,127,44,7
Ballydehob,Cork West Division,+51.55911245,-9.46078114,28,40,0,0,24,91,4,73,3,45,65,3
Ballydesmond,Cork West Division,+52.17823355,-9.23096739,20,20,0,2,45,90,7,4,0,23,19,3
Ballyduff,Kerry Division,+52.45585148,-9.66309811,73,67,1,2,81,100,7,22,7,105,186,31
Ballyfermot,D.M.R. Western Division,+53.34475578,-6.35798817,1182,1320,12,418,2565,7505,431,3555,524,5566,5898,784
